doc_id,page_number,text_raw,text_tfidf,text_embed
IR_ch1,11,"Incidence vectors • So we have a 0/1 vector for each term. • To answer query: take the vectors for Brutus, Caesar and Calpurnia (complemented) ➔ bitwise AND. – 110100 AND – 110111 AND – 101111 = – 100100 11 Sec. 1.1 Antony and Cleopatra Julius Caesar The Tempest Hamlet Othello Macbeth Antony 1 1 0 0 0 1 Brutus 1 1 0 1 0 0 Caesar 1 1 0 1 1 1 Calpurnia 0 1 0 0 0 0 Cleopatra 1 0 0 0 0 0 mercy 1 0 1 1 1 1 worser 1 0 1 1 1 0",incid vector vector term answer queri vector brutu caesar calpurnia complement bitwis sec antoni cleopatra juliu caesar tempest hamlet othello macbeth antoni brutu caesar calpurnia cleopatra merci worser,"incidence vectors • so we have a 0/1 vector for each term. • to answer query: take the vectors for brutus, caesar and calpurnia (complemented) ➔ bitwise and. – 110100 and – 110111 and – 101111 = – 100100 11 sec. 1.1 antony and cleopatra julius caesar the tempest hamlet othello macbeth antony 1 1 0 0 0 1 brutus 1 1 0 1 0 0 caesar 1 1 0 1 1 1 calpurnia 0 1 0 0 0 0 cleopatra 1 0 0 0 0 0 mercy 1 0 1 1 1 1 worser 1 0 1 1 1 0"
IR_ch1,12,"Answers to query • Antony and Cleopatra, Act III, Scene ii Agrippa [Aside to DOMITIUS ENOBARBUS]: Why, Enobarbus, When Antony found Julius Caesar dead, He cried almost to roaring; and he wept When at Philippi he found Brutus slain. • Hamlet, Act III, Scene ii Lord Polonius: I did enact Julius Caesar I was killed i’ the Capitol; Brutus killed me. 12 Sec. 1.1",answer queri antoni cleopatra act iii scene ii agrippa asid domitiu enobarbu enobarbu antoni juliu caesar dead cri roar wept philippi brutu slain hamlet act iii scene ii lord poloniu did enact juliu caesar kill capitol brutu kill sec,"answers to query • antony and cleopatra, act iii, scene ii agrippa [aside to domitius enobarbus]: why, enobarbus, when antony found julius caesar dead, he cried almost to roaring; and he wept when at philippi he found brutus slain. • hamlet, act iii, scene ii lord polonius: i did enact julius caesar i was killed i’ the capitol; brutus killed me. 12 sec. 1.1"
IR_ch1,13,"Bigger collections • Consider N = 1 million documents, each with about 1000 words. • Avg 6 bytes/word including spaces/punctuation – 6GB of data in the documents. • Say there are M = 500K distinct terms among these. 13 Sec. 1.1",bigger collect consid n million document word avg byte word includ space punctuat gb data document say m k distinct term sec,"bigger collections • consider n = 1 million documents, each with about 1000 words. • avg 6 bytes/word including spaces/punctuation – 6gb of data in the documents. • say there are m = 500k distinct terms among these. 13 sec. 1.1"
IR_ch1,14,Can’t build the matrix • 500K x 1M matrix has half-a-trillion 0’s and 1’s. • But it has no more than one billion 1’s. – matrix is extremely sparse. • What’s a better representation? – We only record the 1 positions. 14 Why? Sec. 1.1,t build matrix k x m matrix half trillion s s billion s matrix extrem spars s better represent record posit sec,can’t build the matrix • 500k x 1m matrix has half-a-trillion 0’s and 1’s. • but it has no more than one billion 1’s. – matrix is extremely sparse. • what’s a better representation? – we only record the 1 positions. 14 why? sec. 1.1
IR_ch1,15,Introduction to Information Retrieval The Inverted Index The key data structure underlying modern IR,introduct inform retriev invert index key data structur underli modern ir,introduction to information retrieval the inverted index the key data structure underlying modern ir
IR_ch1,16,"Inverted index • For each term t, we must store a list of all documents that contain t. – Identify each doc by a docID, a document serial number • Can we used fixed-size arrays for this? 16 What happens if the word Caesar is added to document 14? Sec. 1.2 Brutus Calpurnia Caesar 1 2 4 5 6 16 57 132 1 2 4 11 31 45 173 2 31 174 54101",invert index term t store list document contain t identifi doc docid document serial number use fix size array happen word caesar ad document sec brutu calpurnia caesar,"inverted index • for each term t, we must store a list of all documents that contain t. – identify each doc by a docid, a document serial number • can we used fixed-size arrays for this? 16 what happens if the word caesar is added to document 14? sec. 1.2 brutus calpurnia caesar 1 2 4 5 6 16 57 132 1 2 4 11 31 45 173 2 31 174 54101"
IR_ch1,17,"Inverted index • We need variable-size postings lists – On disk, a continuous run of postings is normal and best – In memory, can use linked lists or variable length arrays • Some tradeoffs in size/ease of insertion 17 Dictionary Postings Sorted by docID (more later on why). Posting Sec. 1.2 Brutus Calpurnia Caesar 1 2 4 5 6 16 57 132 1 2 4 11 31 45173 2 31 174 54101",invert index need variabl size post list disk continu run post normal best memori use link list variabl length array tradeoff size eas insert dictionari post sort docid later post sec brutu calpurnia caesar,"inverted index • we need variable-size postings lists – on disk, a continuous run of postings is normal and best – in memory, can use linked lists or variable length arrays • some tradeoffs in size/ease of insertion 17 dictionary postings sorted by docid (more later on why). posting sec. 1.2 brutus calpurnia caesar 1 2 4 5 6 16 57 132 1 2 4 11 31 45173 2 31 174 54101"
IR_ch1,18,"Tokenizer Token stream Friends Romans Countrymen Inverted index construction Linguistic modules Modified tokens friend roman countryman Indexer Inverted index friend roman countryman 2 4 2 13 16 1 Documents to be indexed Friends, Romans, countrymen. Sec. 1.2",token token stream friend roman countrymen invert index construct linguist modul modifi token friend roman countryman index invert index friend roman countryman document index friend roman countrymen sec,"tokenizer token stream friends romans countrymen inverted index construction linguistic modules modified tokens friend roman countryman indexer inverted index friend roman countryman 2 4 2 13 16 1 documents to be indexed friends, romans, countrymen. sec. 1.2"
IR_ch1,19,"Initial stages of text processing • Tokenization – Cut character sequence into word tokens • Deal with “John’s”, a state-of-the-art solution • Normalization – Map text and query term to same form • You want U.S.A. and USA to match • Stemming – We may wish different forms of a root to match • authorize, authorization • Stop words – We may omit very common words (or not) • the, a, to, of",initi stage text process token cut charact sequenc word token deal john s state art solut normal map text queri term form want u s usa match stem wish differ form root match author author stop word omit common word,"initial stages of text processing • tokenization – cut character sequence into word tokens • deal with “john’s”, a state-of-the-art solution • normalization – map text and query term to same form • you want u.s.a. and usa to match • stemming – we may wish different forms of a root to match • authorize, authorization • stop words – we may omit very common words (or not) • the, a, to, of"
IR_ch1,20,"Indexer steps: Token sequence • Sequence of (Modified token, Document ID) pairs. I did enact Julius Caesar I was killed i’ the Capitol; Brutus killed me. Doc 1 So let it be with Caesar. The noble Brutus hath told you Caesar was ambitious Doc 2 Sec. 1.2",index step token sequenc sequenc modifi token document id pair did enact juliu caesar kill capitol brutu kill doc let caesar nobl brutu hath told caesar ambiti doc sec,"indexer steps: token sequence • sequence of (modified token, document id) pairs. i did enact julius caesar i was killed i’ the capitol; brutus killed me. doc 1 so let it be with caesar. the noble brutus hath told you caesar was ambitious doc 2 sec. 1.2"
IR_ch1,21,Indexer steps: Sort • Sort by terms – And then docID Core indexing step Sec. 1.2,index step sort sort term docid core index step sec,indexer steps: sort • sort by terms – and then docid core indexing step sec. 1.2
IR_ch1,22,Indexer steps: Dictionary & Postings • Multiple term entries in a single document are merged. • Split into Dictionary and Postings • Doc. frequency information is added. Why frequency? Will discuss later. Sec. 1.2,index step dictionari post multipl term entri singl document merg split dictionari post doc frequenc inform ad frequenc discuss later sec,indexer steps: dictionary & postings • multiple term entries in a single document are merged. • split into dictionary and postings • doc. frequency information is added. why frequency? will discuss later. sec. 1.2
IR_ch1,23,Where do we pay in storage? 23 Pointers Terms and counts IR system implementation • How do we index efficiently? • How much storage do we need? Sec. 1.2 Lists of docIDs,pay storag pointer term count ir implement index effici storag need sec list docid,where do we pay in storage? 23 pointers terms and counts ir system implementation • how do we index efficiently? • how much storage do we need? sec. 1.2 lists of docids
IR_ch1,24,Introduction to Information Retrieval Query processing with an inverted index,introduct inform retriev queri process invert index,introduction to information retrieval query processing with an inverted index
IR_ch1,25,The index we just built • How do we process a query? – Later - what kinds of queries can we process? 25 Our focus Sec. 1.3,index just built process queri later kind queri process focu sec,the index we just built • how do we process a query? – later - what kinds of queries can we process? 25 our focus sec. 1.3
IR_ch1,26,Query processing: AND • Consider processing the query: Brutus AND Caesar – Locate Brutus in the Dictionary; • Retrieve its postings. – Locate Caesar in the Dictionary; • Retrieve its postings. – “Merge” the two postings (intersect the document sets): 26 128 34 2 4 8 16 32 64 1 2 3 5 8 13 21 Brutus Caesar Sec. 1.3,queri process consid process queri brutu caesar locat brutu dictionari retriev post locat caesar dictionari retriev post merg post intersect document set brutu caesar sec,query processing: and • consider processing the query: brutus and caesar – locate brutus in the dictionary; • retrieve its postings. – locate caesar in the dictionary; • retrieve its postings. – “merge” the two postings (intersect the document sets): 26 128 34 2 4 8 16 32 64 1 2 3 5 8 13 21 brutus caesar sec. 1.3
IR_ch1,27,"The merge • Walk through the two postings simultaneously, in time linear in the total number of postings entries 27 34 128 2 4 8 16 32 64 1 2 3 5 8 13 21 Brutus Caesar If the list lengths are x and y, the merge takes O(x+y) operations. Crucial: postings sorted by docID. Sec. 1.3",merg walk post simultan time linear total number post entri brutu caesar list length x y merg take o x y oper crucial post sort docid sec,"the merge • walk through the two postings simultaneously, in time linear in the total number of postings entries 27 34 128 2 4 8 16 32 64 1 2 3 5 8 13 21 brutus caesar if the list lengths are x and y, the merge takes o(x+y) operations. crucial: postings sorted by docid. sec. 1.3"
IR_ch1,28,Intersecting two postings lists (a “merge” algorithm) 28,intersect post list merg algorithm,intersecting two postings lists (a “merge” algorithm) 28
IR_ch1,29,Introduction to Information Retrieval The Boolean Retrieval Model & Extended Boolean Models,introduct inform retriev boolean retriev model extend boolean model,introduction to information retrieval the boolean retrieval model & extended boolean models
IR_ch1,30,"Boolean queries: Exact match • The Boolean retrieval model is being able to ask a query that is a Boolean expression: – Boolean Queries are queries using AND, OR and NOT to join query terms • Views each document as a set of words • Is precise: document matches condition or not. – Perhaps the simplest model to build an IR system on • Primary commercial retrieval tool for 3 decades. • Many search systems you still use are Boolean: – Email, library catalog, Mac OS X Spotlight 30 Sec. 1.3",boolean queri exact match boolean retriev model abl ask queri boolean express boolean queri queri use join queri term view document set word precis document match condit simplest model build ir primari commerci retriev tool decad search system use boolean email librari catalog mac os x spotlight sec,"boolean queries: exact match • the boolean retrieval model is being able to ask a query that is a boolean expression: – boolean queries are queries using and, or and not to join query terms • views each document as a set of words • is precise: document matches condition or not. – perhaps the simplest model to build an ir system on • primary commercial retrieval tool for 3 decades. • many search systems you still use are boolean: – email, library catalog, mac os x spotlight 30 sec. 1.3"
IR_ch1,31,"Example: WestLaw   http://www.westlaw.com/ • Largest commercial (paying subscribers) legal search service (started 1975; ranking added 1992; new federated search added 2010) • Tens of terabytes of data; ~700,000 users • Majority of users still use boolean queries • Example query: – What is the statute of limitations in cases involving the federal tort claims act? – LIMIT! /3 STATUTE ACTION /S FEDERAL /2 TORT /3 CLAIM • /3 = within 3 words, /S = in same sentence 31 Sec. 1.4",exampl westlaw largest commerci pay subscrib legal search servic start rank ad new feder search ad ten terabyt data user major user use boolean queri exampl queri statut limit case involv feder tort claim act limit statut action s feder tort claim word s sentenc sec,"example: westlaw • largest commercial (paying subscribers) legal search service (started 1975; ranking added 1992; new federated search added 2010) • tens of terabytes of data; ~700,000 users • majority of users still use boolean queries • example query: – what is the statute of limitations in cases involving the federal tort claims act? – limit! /3 statute action /s federal /2 tort /3 claim • /3 = within 3 words, /s = in same sentence 31 sec. 1.4"
IR_ch1,32,"Example: WestLaw   http://www.westlaw.com/ • Another example query: – Requirements for disabled people to be able to access a workplace – disabl! /p access! /s work-site work-place (employment /3 place • Note that SPACE is disjunction, not conjunction! • Long, precise queries; proximity operators; incrementally developed; not like web search • Many professional searchers still like Boolean search – You know exactly what you are getting • But that doesn’t mean it actually works better…. Sec. 1.4",exampl westlaw exampl queri requir disabl peopl abl access workplac disabl p access s work site work place employ place note space disjunct conjunct long precis queri proxim oper increment develop like web search profession searcher like boolean search know exactli get doesn t mean actual work better sec,"example: westlaw • another example query: – requirements for disabled people to be able to access a workplace – disabl! /p access! /s work-site work-place (employment /3 place • note that space is disjunction, not conjunction! • long, precise queries; proximity operators; incrementally developed; not like web search • many professional searchers still like boolean search – you know exactly what you are getting • but that doesn’t mean it actually works better…. sec. 1.4"
IR_ch1,33,Boolean queries: More general merges • Exercise: Adapt the merge for the queries: Brutus AND NOT Caesar Brutus OR NOT Caesar • Can we still run through the merge in time O(x+y)?   What can we achieve? 33 Sec. 1.3,boolean queri gener merg exercis adapt merg queri brutu caesar brutu caesar run merg time o x y achiev sec,boolean queries: more general merges • exercise: adapt the merge for the queries: brutus and not caesar brutus or not caesar • can we still run through the merge in time o(x+y)? what can we achieve? 33 sec. 1.3
IR_ch1,34,Merging What about an arbitrary Boolean formula? (Brutus OR Caesar) AND NOT (Antony OR Cleopatra) • Can we always merge in “linear” time? – Linear in what? • Can we do better? 34 Sec. 1.3,merg arbitrari boolean formula brutu caesar antoni cleopatra merg linear time linear better sec,merging what about an arbitrary boolean formula? (brutus or caesar) and not (antony or cleopatra) • can we always merge in “linear” time? – linear in what? • can we do better? 34 sec. 1.3
IR_ch1,35,"Query optimization • What is the best order for query processing? • Consider a query that is an AND of n terms. • For each of the n terms, get its postings, then AND them together. Brutus Caesar Calpurnia 1 2 3 5 8 16 21 34 2 4 8 16 32 64128 13 16 Query: Brutus AND Calpurnia AND Caesar 35 Sec. 1.3",queri optim best order queri process consid queri n term n term post brutu caesar calpurnia queri brutu calpurnia caesar sec,"query optimization • what is the best order for query processing? • consider a query that is an and of n terms. • for each of the n terms, get its postings, then and them together. brutus caesar calpurnia 1 2 3 5 8 16 21 34 2 4 8 16 32 64128 13 16 query: brutus and calpurnia and caesar 35 sec. 1.3"
IR_ch1,36,"Query optimization example • Process in order of increasing freq: – start with smallest set, then keep cutting further. 36 This is why we kept document freq. in dictionary Execute the query as (Calpurnia AND Brutus) AND Caesar. Sec. 1.3 Brutus Caesar Calpurnia 1 2 3 5 8 16 21 34 2 4 8 16 32 64128 13 16",queri optim exampl process order increas freq start smallest set cut kept document freq dictionari execut queri calpurnia brutu caesar sec brutu caesar calpurnia,"query optimization example • process in order of increasing freq: – start with smallest set, then keep cutting further. 36 this is why we kept document freq. in dictionary execute the query as (calpurnia and brutus) and caesar. sec. 1.3 brutus caesar calpurnia 1 2 3 5 8 16 21 34 2 4 8 16 32 64128 13 16"
IR_ch1,37,"More general optimization • e.g., (madding OR crowd) AND (ignoble OR strife) • Get doc. freq.’s for all terms. • Estimate the size of each OR by the sum of its doc. freq.’s (conservative). • Process in increasing order of OR sizes. 37 Sec. 1.3",gener optim e g mad crowd ignobl strife doc freq s term estim size sum doc freq s conserv process increas order size sec,"more general optimization • e.g., (madding or crowd) and (ignoble or strife) • get doc. freq.’s for all terms. • estimate the size of each or by the sum of its doc. freq.’s (conservative). • process in increasing order of or sizes. 37 sec. 1.3"
IR_ch1,38,Exercise • Recommend a query processing order for • Which two terms should we process first? Term Freq eyes 213312 kaleidoscope 87009 marmalade 107913 skies 271658 tangerine 46653 trees 316812 38 (tangerine OR trees) AND (marmalade OR skies) AND (kaleidoscope OR eyes),exercis recommend queri process order term process term freq eye kaleidoscop marmalad sky tangerin tree tangerin tree marmalad sky kaleidoscop eye,exercise • recommend a query processing order for • which two terms should we process first? term freq eyes 213312 kaleidoscope 87009 marmalade 107913 skies 271658 tangerine 46653 trees 316812 38 (tangerine or trees) and (marmalade or skies) and (kaleidoscope or eyes)
IR_ch1,39,"Query processing exercises • Exercise: If the query is friends AND romans AND (NOT countrymen), how could we use the freq of countrymen? • Exercise: Extend the merge to an arbitrary Boolean query.  Can we always guarantee execution in time linear in the total postings size? • Hint: Begin with the case of a Boolean formula query: in this, each query term appears only once in the query. 39",queri process exercis exercis queri friend roman countrymen use freq countrymen exercis extend merg arbitrari boolean queri guarante execut time linear total post size hint begin case boolean formula queri queri term appear queri,"query processing exercises • exercise: if the query is friends and romans and (not countrymen), how could we use the freq of countrymen? • exercise: extend the merge to an arbitrary boolean query. can we always guarantee execution in time linear in the total postings size? • hint: begin with the case of a boolean formula query: in this, each query term appears only once in the query. 39"
IR_ch1,40,Exercise • Try the search feature at http://www.rhymezone.com/shakespeare/ • Write down five search features you think it could do better 40,exercis tri search featur write search featur think better,exercise • try the search feature at • write down five search features you think it could do better 40
IR_ch1,41,Introduction to Information Retrieval Phrase queries and positional indexes,introduct inform retriev phrase queri posit index,introduction to information retrieval phrase queries and positional indexes
IR_ch1,42,"Phrase queries • We want to be able to answer queries such as “stanford university” – as a phrase • Thus the sentence “I went to university at Stanford” is not a match. – The concept of phrase queries has proven easily understood by users; one of the few “advanced search” ideas that works – Many more queries are implicit phrase queries • For this, it no longer suffices to store only <term : docs> entries Sec. 2.4",phrase queri want abl answer queri stanford univers phrase sentenc went univers stanford match concept phrase queri proven easili understood user advanc search idea work queri implicit phrase queri longer suffic store term doc entri sec,"phrase queries • we want to be able to answer queries such as “stanford university” – as a phrase • thus the sentence “i went to university at stanford” is not a match. – the concept of phrase queries has proven easily understood by users; one of the few “advanced search” ideas that works – many more queries are implicit phrase queries • for this, it no longer suffices to store only <term : docs> entries sec. 2.4"
IR_ch1,43,"A first attempt: Biword indexes • Index every consecutive pair of terms in the text as a phrase • For example the text “Friends, Romans, Countrymen” would generate the biwords – friends romans – romans countrymen • Each of these biwords is now a dictionary term • Two-word phrase query-processing is now immediate. Sec. 2.4.1",attempt biword index index consecut pair term text phrase exampl text friend roman countrymen gener biword friend roman roman countrymen biword dictionari term word phrase queri process immedi sec,"a first attempt: biword indexes • index every consecutive pair of terms in the text as a phrase • for example the text “friends, romans, countrymen” would generate the biwords – friends romans – romans countrymen • each of these biwords is now a dictionary term • two-word phrase query-processing is now immediate. sec. 2.4.1"
IR_ch1,44,"Longer phrase queries • Longer phrases can be processed by breaking them down • stanford university palo alto can be broken into the Boolean query on biwords: stanford university AND university palo AND palo alto Without the docs, we cannot verify that the docs matching the above Boolean query do contain the phrase. Can have false positives! Sec. 2.4.1",longer phrase queri longer phrase process break stanford univers palo alto broken boolean queri biword stanford univers univers palo palo alto doc verifi doc match boolean queri contain phrase fals posit sec,"longer phrase queries • longer phrases can be processed by breaking them down • stanford university palo alto can be broken into the boolean query on biwords: stanford university and university palo and palo alto without the docs, we cannot verify that the docs matching the above boolean query do contain the phrase. can have false positives! sec. 2.4.1"
IR_ch1,45,"Issues for biword indexes • False positives, as noted before • Index blowup due to bigger dictionary – Infeasible for more than biwords, big even for them • Biword indexes are not the standard solution (for all biwords) but can be part of a compound strategy Sec. 2.4.1",issu biword index fals posit note index blowup bigger dictionari infeas biword big biword index standard solut biword compound strategi sec,"issues for biword indexes • false positives, as noted before • index blowup due to bigger dictionary – infeasible for more than biwords, big even for them • biword indexes are not the standard solution (for all biwords) but can be part of a compound strategy sec. 2.4.1"
IR_ch1,46,"Solution 2: Positional indexes • In the postings, store, for each term the position(s) in which tokens of it appear: <term, number of docs containing term; doc1: position1, position2 … ; doc2: position1, position2 … ; etc.> Sec. 2.4.2",solut posit index post store term posit s token appear term number doc contain term doc posit posit doc posit posit sec,"solution 2: positional indexes • in the postings, store, for each term the position(s) in which tokens of it appear: <term, number of docs containing term; doc1: position1, position2 … ; doc2: position1, position2 … ; etc.> sec. 2.4.2"
IR_ch1,47,"Positional index example • For phrase queries, we use a merge algorithm recursively at the document level • But we now need to deal with more than just equality <be: 993427; 1: 7, 18, 33, 72, 86, 231; 2: 3, 149; 4: 17, 191, 291, 430, 434; 5: 363, 367, …> Which of docs 1,2,4,5 could contain “to be or not to be”? Sec. 2.4.2",posit index exampl phrase queri use merg algorithm recurs document level need deal just equal doc contain sec,"positional index example • for phrase queries, we use a merge algorithm recursively at the document level • but we now need to deal with more than just equality <be: 993427; 1: 7, 18, 33, 72, 86, 231; 2: 3, 149; 4: 17, 191, 291, 430, 434; 5: 363, 367, …> which of docs 1,2,4,5 could contain “to be or not to be”? sec. 2.4.2"
IR_ch1,48,"Processing a phrase query • Extract inverted index entries for each distinct term: to, be, or, not. • Merge their doc:position lists to enumerate all positions with “to be or not to be”. – to: • 2:1,17,74,222,551; 4:8,16,190,429,433; 7:13,23,191; ... – be: • 1:17,19; 4:17,191,291,430,434; 5:14,19,101; ... • Same general method for proximity searches Sec. 2.4.2",process phrase queri extract invert index entri distinct term merg doc posit list enumer posit gener method proxim search sec,"processing a phrase query • extract inverted index entries for each distinct term: to, be, or, not. • merge their doc:position lists to enumerate all positions with “to be or not to be”. – to: • 2:1,17,74,222,551; 4:8,16,190,429,433; 7:13,23,191; ... – be: • 1:17,19; 4:17,191,291,430,434; 5:14,19,101; ... • same general method for proximity searches sec. 2.4.2"
IR_ch1,49,"Proximity queries • LIMIT! /3 STATUTE /3 FEDERAL /2 TORT – Again, here, /k means “within k words of”. • Clearly, positional indexes can be used for such queries; biword indexes cannot. • Exercise: Adapt the linear merge of postings to handle proximity queries.  Can you make it work for any value of k? – This is a little tricky to do correctly and efficiently – See Figure 2.12 of IIR Sec. 2.4.2",proxim queri limit statut feder tort k mean k word clearli posit index use queri biword index exercis adapt linear merg post handl proxim queri make work valu k littl tricki correctli effici figur iir sec,"proximity queries • limit! /3 statute /3 federal /2 tort – again, here, /k means “within k words of”. • clearly, positional indexes can be used for such queries; biword indexes cannot. • exercise: adapt the linear merge of postings to handle proximity queries. can you make it work for any value of k? – this is a little tricky to do correctly and efficiently – see figure 2.12 of iir sec. 2.4.2"
IR_ch1,50,"Positional index size • A positional index expands postings storage substantially – Even though indices can be compressed • Nevertheless, a positional index is now standardly used because of the power and usefulness of phrase and proximity queries … whether used explicitly or implicitly in a ranking retrieval system. Sec. 2.4.2",posit index size posit index expand post storag substanti indic compress posit index standardli use power use phrase proxim queri use explicitli implicitli rank retriev sec,"positional index size • a positional index expands postings storage substantially – even though indices can be compressed • nevertheless, a positional index is now standardly used because of the power and usefulness of phrase and proximity queries … whether used explicitly or implicitly in a ranking retrieval system. sec. 2.4.2"
IR_ch1,51,"Positional index size • Need an entry for each occurrence, not just once per document • Index size depends on average document size – Average web page has <1000 terms – SEC filings, books, even some epic poems … easily 100,000 terms • Consider a term with frequency 0.1% Why? 100 1 100,000 1 1 1000 Positional postings Postings Document size Sec. 2.4.2",posit index size need entri occurr just document index size depend averag document size averag web page term sec file book epic poem easili term consid term frequenc posit post post document size sec,"positional index size • need an entry for each occurrence, not just once per document • index size depends on average document size – average web page has <1000 terms – sec filings, books, even some epic poems … easily 100,000 terms • consider a term with frequency 0.1% why? 100 1 100,000 1 1 1000 positional postings postings document size sec. 2.4.2"
IR_ch1,52,Rules of thumb • A positional index is 2–4 as large as a non- positional index • Positional index size 35–50% of volume of original text – Caveat: all of this holds for “English-like” languages Sec. 2.4.2,rule thumb posit index larg non posit index posit index size volum origin text caveat hold english like languag sec,rules of thumb • a positional index is 2–4 as large as a non- positional index • positional index size 35–50% of volume of original text – caveat: all of this holds for “english-like” languages sec. 2.4.2
IR_ch1,53,"Combination schemes • These two approaches can be profitably combined – For particular phrases (“Michael Jackson”, “Britney Spears”) it is inefficient to keep on merging positional postings lists • Even more so for phrases like “The Who” • Williams et al. (2004) evaluate a more sophisticated mixed indexing scheme – A typical web query mixture was executed in ¼ of the time of using just a positional index – It required 26% more space than having a positional index alone Sec. 2.4.3",combin scheme approach profit combin particular phrase michael jackson britney spear ineffici merg posit post list phrase like william et al evalu sophist mix index scheme typic web queri mixtur execut ¼ time use just posit index requir space have posit index sec,"combination schemes • these two approaches can be profitably combined – for particular phrases (“michael jackson”, “britney spears”) it is inefficient to keep on merging positional postings lists • even more so for phrases like “the who” • williams et al. (2004) evaluate a more sophisticated mixed indexing scheme – a typical web query mixture was executed in ¼ of the time of using just a positional index – it required 26% more space than having a positional index alone sec. 2.4.3"
